	type	mu	lambda	psi	p	R_naught	infectious_time	incubation_period	mu_error	lambda_error	psi_error	p_error	R_naught_error	infectious_time_error	incubation_period_error
28	PhyloDeep	0.16702191796112487	0.5789183620095582	0.19963597843496864		2.899869885919089	5.00911713329143	5.987238155370451	0.03875715214712764	-0.012726014533562308	0.01997911144293812		-0.03206450564485891	-0.01958776529714853	-0.03731108090761745
29	PyBDEI (forest)	0.029727621791523107	0.410328269594712	0.13276906172327538		3.0905413073562342	7.531875174988095	33.63874873721491	-0.009211868764974986	0.005174630662013595	-0.0060051465067538865		0.011247318966972408	0.006041426155929901	0.009297516264645206
29	PhyloDeep	0.03277388306500645	0.3808867342076707	0.1286211564150378		2.961307026183285	7.77477071325013	30.512100077263252	0.09231658633898605	-0.06694782994257067	-0.03705904171133739		-0.03103906628330728	0.038485268896650424	-0.08451449652375512
29	PyBDEI	0.03020936394706155	0.4218501170546711	0.14112371085145015		2.9892221123544536	7.085981469496797	33.1023189284086	0.006844054354955568	0.03339951698668154	0.05654314696131481		-0.021905049539336172	-0.05351712054915751	-0.006797531678667629
30	PhyloDeep	0.1925877154876257	1.2373350815349773	0.7084293230787774		1.7465893085249742	1.4115734166029148	5.1924391826759715	0.001221353257402626	0.00017030151662815536	-0.014954686354123262		0.015354611266328855	0.01518172427903085	-0.001219863373298301
30	PyBDEI	0.1898678185170479	1.2618644225491096	0.7221031988861588		1.7474848809637324	1.3848436089779077	5.266821980736096	-0.012918795394901218	0.019998009276820168	0.004058342673105501		0.01587523944204131	-0.0040419390991772155	0.013087874973842149
30	PyBDEI (forest)	0.1997514836846407	1.2382622824370235	0.713102507410436		1.7364435962140357	1.4023229333906069	5.006220637533577	0.03846421514232154	0.000919782251156133	-0.008456792808867235		0.00945654711970197	0.008528920119198249	-0.03703951911048771
31	PyBDEI	0.13554285559103413	1.3958415356061522	0.28273619884517737		4.936904228419993	3.5368658278793186	7.377740388008674	-0.03890788507785161	0.040464454627103214	0.018676522041976493		0.021388470347242207	-0.01833410473085079	0.04048299270565042
31	PyBDEI (forest)	0.14639358244773998	1.2793063388299342	0.2729786517737572		4.686470280797688	3.663290127276301	6.830900530472247	0.03803123486085955	-0.04640122952519996	-0.016479160728654792		-0.03042342124515978	0.01675527357494915	-0.036637852102742986
31	PhyloDeep	0.14737218773251493	1.3160992764826878	0.2974979061550801		4.423894250188872	3.3613681955755297	6.785540849912813	0.0449702197207931	-0.01897566377688082	0.0718618047304787		-0.08474736958296691	-0.06704390847152954	-0.043034929486132856
32	PhyloDeep	0.2362660153564247	1.0621593528494824	0.6040628529857682		1.7583589979079657	1.6554568701869177	4.232517311012447	0.0016298442658427635	0.054394123029246774	0.043366340771425094		0.010569424972697453	-0.04156386791178411	-0.001627192195972532
32	PyBDEI	0.24073362174296944	0.9989640193120364	0.57653649638528		1.7326986679512166	1.7344955718670296	4.153968991783362	0.02056988472170438	-0.008339202347965799	-0.004178502979623064		-0.004178157813214878	0.0041960361290910445	-0.020155292674850524
32	PyBDEI (forest)	0.228621500251358	1.02192987518338	0.5706959960679839		1.7906729365973038	1.7522463919317133	4.374041806656634	-0.03077843274608689	0.014458754847552123	-0.014266495337059343		0.029140989982311377	0.014472973952465657	0.03175582734223624
33	PhyloDeep	0.1668131624601796	1.459106947951821	0.4549687468189771		3.2070487437950783	2.197953171490876	5.994730782942338	-0.0043919435865267245	0.06133607812997663	0.04686251655632774		0.013825656516254323	-0.04476472871574635	0.0044113178456468985
33	PyBDEI	0.1743033176380716	1.367798649791791	0.4429561919945973		3.0878869615360838	2.257559591834754	5.737125452060693	0.0403123155313742	-0.005080431781049181	0.019222171012494984		-0.023844264268115107	-0.018859647640317306	-0.038750205038939035
33	PyBDEI (forest)	0.16302202490925755	1.4116030683568892	0.4450092521833936		3.172075774674345	2.247144289907681	6.134140466949952	-0.027018977526793057	0.0267823524171248	0.02394616968473799		0.002769855307198668	-0.023386160712052448	0.027769274942396713
34	PyBDEI	0.17875354238616506	0.27227491740941884	0.26408088225228554		1.0310285056882886	3.7867186426795767	5.594294729218169	0.0006251800809696738	0.009611620232273672	-0.006207091715775106		0.01591751341369468	0.00624586034377264	-0.0006247894750353113
34	PyBDEI (forest)	0.17779780828815805	0.2678657346959375	0.2629990954231119		1.01850439548089	3.8022944466451634	5.624366293533236	-0.004724820770268279	-0.006737892038679408	-0.010278087199957849		0.0035769594625449596	0.010384823319592526	0.004747250678877925
34	PhyloDeep	0.17862121492919011	0.2810747451768101	0.2669162798054862		1.0530445927900756	3.746493097868532	5.5984391349953855	-0.00011556152167316	0.042241906027719794	0.004463116428430233		0.0376109276502054	-0.004443285527795004	0.00011557487768183261
35	PyBDEI	0.1014464430033139	0.181022035982112	0.12104933739955542		1.4954401227707736	8.261094372613005	9.857418066075846	-0.006121422430715186	0.009666173345520506	0.006557604118920146		0.003088317264585376	-0.006514882101218557	0.006159125036869557
35	PyBDEI (forest)	0.10291204384145716	0.17990664585656868	0.12104294759119785		1.4863042369405366	8.261530472451245	9.717035661448591	0.008237181313041433	0.0034449877659041782	0.006504471154053547		-0.003039711671266952	-0.006462436422756706	-0.008169884493164503
35	PhyloDeep	0.10176441700951268	0.183488971647198	0.12214467167145973		1.5022265739167069	8.187012878382149	9.826617489554552	-0.003006206720544617	0.023425721896300745	0.015665601437387013		0.0076404285504318575	-0.01542397558331869	0.003015271249238405
36	PyBDEI	0.05527844206900801	0.4329883876247048	0.11336754199214852		3.819332941475367	8.820866911529729	18.090234865006305	0.05694423407571578	-0.02169316105602119	0.006923380086020193		-0.028419780201743683	-0.006875776472117268	-0.05387629000645671
36	PyBDEI (forest)	0.054593101722608665	0.4290398309381992	0.1098502926942095		3.905677631032976	9.103298457143874	18.317332564855334	0.0438402734647788	-0.03061464745328369	-0.024316607034201753		-0.006455004220106527	0.02492264110418697	-0.04199902473513661
36	PhyloDeep	0.052929601717250495	0.4604076608676984	0.11714665480655605		3.9301818872076906	8.536308626578345	18.89301954966508	0.012033538809461973	0.040258760286831397	0.040489222495068485		-0.00022149408495048898	-0.03891363948775593	-0.011890454563015542
